SALONES,ID,NAME,POPULATION,POP_DENS,PPIDX_CY,PPPC_CY,REGION
0,2807903089,Madrid,1851,61700,1807,2747805,Madrid
0,2807903090,Madrid,1146,57300,2011,3058794,Madrid
0,2807903091,Madrid,1623,73773,2049,3116648,Madrid
2,2807903092,Madrid,2229,278625,2019,3070255,Madrid
0,2807903093,Madrid,1210,60500,2131,3241139,Madrid
0,2807903094,Madrid,802,40100,2056,3126604,Madrid
0,2807903095,Madrid,1909,238625,1967,2991434,Madrid
0,2807903096,Madrid,1988,49700,2048,3114176,Madrid
0,2807903097,Madrid,1293,43100,1801,2738621,Madrid
0,2807903098,Madrid,1824,22800,1878,2856235,Madrid
1,2807903099,Madrid,1391,231833,1662,2527858,Madrid
0,2807903100,Madrid,1277,31925,1885,2866261,Madrid
0,2807904001,Madrid,1041,94636,2307,3508511,Madrid
0,2807904002,Madrid,1066,177667,2216,3370101,Madrid
0,2807904003,Madrid,796,265333,2298,3494807,Madrid
0,2807904004,Madrid,998,166333,2092,3181352,Madrid
0,2807904005,Madrid,828,59143,2203,3349415,Madrid
0,2807904006,Madrid,894,99333,2315,3520155,Madrid
0,2807904007,Madrid,1345,224167,233,3542914,Madrid
0,2807904008,Madrid,1107,36900,2045,3109092,Madrid
0,2807904009,Madrid,1869,26700,2199,3344574,Madrid
0,2807904010,Madrid,807,26900,2264,344253,Madrid
1,2807904011,Madrid,1479,29580,2119,3222453,Madrid
0,2807904012,Madrid,1274,18200,2277,3462961,Madrid
0,2807904013,Madrid,919,45950,2232,3394453,Madrid
0,2807904014,Madrid,1267,25340,2141,3256062,Madrid
0,2807904015,Madrid,1239,30975,2159,3282776,Madrid
0,2807904016,Madrid,1415,471667,2154,3275407,Madrid
1,2807904017,Madrid,1343,67150,208,3162866,Madrid
0,2807904018,Madrid,1239,41300,1854,2818893,Madrid
1,2807904019,Madrid,712,237333,2064,3138838,Madrid
0,2807904020,Madrid,775,258333,2042,3104645,Madrid
0,2807904021,Madrid,858,42900,1773,2696342,Madrid
0,2807904023,Madrid,857,21425,1937,2945262,Madrid
0,2807904024,Madrid,1281,64050,173,2631128,Madrid
0,2807904025,Madrid,969,48450,1874,2849661,Madrid
1,2807904026,Madrid,850,42500,1847,2808744,Madrid
0,2807904027,Madrid,1517,75850,1748,2658239,Madrid
0,2807904028,Madrid,1452,72600,1943,2954839,Madrid
0,2807904029,Madrid,1402,35050,2186,3323881,Madrid
0,2807904030,Madrid,1386,46200,1828,277944,Madrid
1,2807904031,Madrid,876,43800,1889,2873188,Madrid
0,2807904032,Madrid,802,40100,1744,2651924,Madrid
1,2807904033,Madrid,1048,52400,1905,2897245,Madrid
0,2807904034,Madrid,1604,40100,1803,2741343,Madrid
0,2807904035,Madrid,1449,48300,1724,2621986,Madrid
0,2807904036,Madrid,733,36650,2067,3143691,Madrid
0,2807904037,Madrid,802,80200,1834,2788622,Madrid
0,2807904038,Madrid,1084,21680,1889,2873188,Madrid
