SALONES;ID;NAME;POPULATION;POP_DENS;PPIDX_CY;PPPC_CY;REGION
0;4718610035;Valladolid;1368;19542,9;146,1;22220,19;CastillayL
0;4718610036;Valladolid;969;24225;87,1;13244,38;CastillayL
0;4718610037;Valladolid;1824;14030,8;142,4;21651,68;CastillayL
0;4718610038;Valladolid;1369;27380;134,1;20397,87;CastillayL
0;4718610039;Valladolid;1245;20750;141,7;21548,31;CastillayL
0;4718610040;Valladolid;1508;37700;177,7;27020,82;CastillayL
0;4718610041;Valladolid;877;3508;183,7;27936,74;CastillayL
0;4718610042;Valladolid;1914;23925;161,2;24512,21;CastillayL
1;4718610043;Valladolid;1816;25942,9;164;24937,68;CastillayL
0;4718610044;Valladolid;1427;47566,7;166,1;25262,92;CastillayL
0;4718610045;Valladolid;1494;49800;150,5;22879,21;CastillayL
0;4718610046;Valladolid;1657;6373,1;123;18702,28;CastillayL
0;4718610047;Valladolid;1630;40750;123;18705,11;CastillayL
0;4718610048;Valladolid;860;3739,1;203,2;30893,7;CastillayL
0;4718610049;Valladolid;1305;4350;169,4;25757,5;CastillayL
0;4718610050;Valladolid;1486;9287,5;165,7;25195,92;CastillayL
0;4718610051;Valladolid;1664;41600;165,9;25227,14;CastillayL
0;4718610052;Valladolid;1803;10605,9;160,6;24422,15;CastillayL
0;4718610053;Valladolid;982;1243;128,4;19524,67;CastillayL
0;4718610054;Valladolid;1055;26375;161,6;24567,31;CastillayL
0;4718610055;Valladolid;1387;8158,8;160,7;24431,84;CastillayL
0;4718610056;Valladolid;1973;9865;167,9;25538,08;CastillayL
1;4718611001;Valladolid;1231;41033,3;148,6;22593,81;CastillayL
0;4718611002;Valladolid;776;25866,7;140;21283,97;CastillayL
0;4718611003;Valladolid;1416;47200;144,2;21932,31;CastillayL
1;4718611004;Valladolid;765;25500;142,8;21708,41;CastillayL
0;4718611005;Valladolid;1372;19600;98,9;15037,3;CastillayL
0;4718611006;Valladolid;915;45750;107,6;16357,71;CastillayL
1;4718611007;Valladolid;1381;34525;137,9;20963,01;CastillayL
0;4718611008;Valladolid;1072;53600;95,9;14586,59;CastillayL
